--- Detection Log Started: 2025-07-16 19:58:04.653123 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:58:04.955 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:58:24.095 | Frame 33] Detected FIRE: FIRE 0.70 at [692,104,827,270] conf: 0.70
[2025-07-16 19:58:24.633 | Frame 34] Detected HUMAN: Person 0.93 at [196,372,379,680] conf: 0.93
[2025-07-16 19:58:24.633 | Frame 34] Detected VEHICLE: Car 0.92 at [1032,499,1213,635] conf: 0.92
[2025-07-16 19:58:24.633 | Frame 34] Detected HUMAN: Person 0.92 at [367,363,552,679] conf: 0.92
[2025-07-16 19:58:24.633 | Frame 34] Detected VEHICLE: Car 0.91 at [826,497,1060,637] conf: 0.91
[2025-07-16 19:58:24.633 | Frame 34] Detected VEHICLE: Truck 0.80 at [589,455,837,632] conf: 0.80
[2025-07-16 19:58:24.633 | Frame 34] Detected FIRE: FIRE 0.59 at [690,100,834,265] conf: 0.59
[2025-07-16 19:58:24.633 | Frame 34] Detected FIRE: FIRE 0.33 at [0,9,970,558] conf: 0.33
[2025-07-16 19:58:25.172 | Frame 35] Detected HUMAN: Person 0.93 at [197,369,380,679] conf: 0.93
[2025-07-16 19:58:25.172 | Frame 35] Detected HUMAN: Person 0.92 at [367,362,552,679] conf: 0.92
[2025-07-16 19:58:25.172 | Frame 35] Detected VEHICLE: Car 0.91 at [1034,497,1213,634] conf: 0.91
[2025-07-16 19:58:25.172 | Frame 35] Detected VEHICLE: Car 0.90 at [830,495,1061,637] conf: 0.90
[2025-07-16 19:58:25.172 | Frame 35] Detected VEHICLE: Truck 0.76 at [589,453,837,635] conf: 0.76
[2025-07-16 19:58:25.172 | Frame 35] Detected FIRE: FIRE 0.52 at [743,153,828,268] conf: 0.52
[2025-07-16 19:58:25.172 | Frame 35] Detected FIRE: FIRE 0.43 at [0,8,1014,562] conf: 0.43
[2025-07-16 19:58:25.696 | Frame 36] Detected HUMAN: Person 0.93 at [196,369,381,679] conf: 0.93
[2025-07-16 19:58:25.696 | Frame 36] Detected HUMAN: Person 0.92 at [367,362,552,679] conf: 0.92
[2025-07-16 19:58:25.696 | Frame 36] Detected VEHICLE: Car 0.91 at [1034,497,1213,634] conf: 0.91
[2025-07-16 19:58:25.696 | Frame 36] Detected VEHICLE: Car 0.90 at [829,495,1061,637] conf: 0.90
[2025-07-16 19:58:25.696 | Frame 36] Detected VEHICLE: Truck 0.77 at [589,453,837,635] conf: 0.77
[2025-07-16 19:58:25.696 | Frame 36] Detected FIRE: FIRE 0.52 at [743,153,828,268] conf: 0.52
[2025-07-16 19:58:25.696 | Frame 36] Detected FIRE: FIRE 0.43 at [0,8,1015,562] conf: 0.43
[2025-07-16 19:58:26.220 | Frame 37] Detected HUMAN: Person 0.92 at [197,370,380,679] conf: 0.92
[2025-07-16 19:58:26.220 | Frame 37] Detected HUMAN: Person 0.92 at [367,362,554,679] conf: 0.92
[2025-07-16 19:58:26.220 | Frame 37] Detected VEHICLE: Car 0.92 at [1033,497,1213,634] conf: 0.92
[2025-07-16 19:58:26.220 | Frame 37] Detected VEHICLE: Car 0.90 at [830,495,1060,636] conf: 0.90
[2025-07-16 19:58:26.220 | Frame 37] Detected VEHICLE: Truck 0.79 at [589,453,838,636] conf: 0.79
